-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.30.111, port 55254
[  5] local 192.168.30.190 port 5201 connected to 192.168.30.111 port 38557
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  5]   0.00-0.10   sec  1.44 KBytes   118 Kbits/sec  753340313.699 ms  0/1 (0%)  
[  5]   0.10-0.20   sec  4.31 KBytes   353 Kbits/sec  620733290.760 ms  0/3 (0%)  
[  5]   0.20-0.30   sec  4.31 KBytes   353 Kbits/sec  511468470.871 ms  0/3 (0%)  
[  5]   0.30-0.40   sec  5.75 KBytes   471 Kbits/sec  395097219.002 ms  0/4 (0%)  
[  5]   0.40-0.50   sec  4.31 KBytes   353 Kbits/sec  325550076.856 ms  0/3 (0%)  
[  5]   0.50-0.60   sec  4.31 KBytes   353 Kbits/sec  268244997.517 ms  0/3 (0%)  
[  5]   0.60-0.70   sec  5.75 KBytes   471 Kbits/sec  207212876.275 ms  0/4 (0%)  
[  5]   0.70-0.80   sec  4.31 KBytes   353 Kbits/sec  170738149.918 ms  0/3 (0%)  
[  5]   0.80-0.90   sec  5.75 KBytes   471 Kbits/sec  131891156.812 ms  0/4 (0%)  
[  5]   0.90-1.00   sec  4.31 KBytes   353 Kbits/sec  108674964.606 ms  0/3 (0%)  
[  5]   1.00-1.10   sec  4.31 KBytes   353 Kbits/sec  89545411.624 ms  0/3 (0%)  
[  5]   1.10-1.20   sec  5.75 KBytes   471 Kbits/sec  69171699.102 ms  0/4 (0%)  
[  5]   1.20-1.30   sec  4.31 KBytes   353 Kbits/sec  56995723.870 ms  0/3 (0%)  
[  5]   1.30-1.40   sec  5.75 KBytes   471 Kbits/sec  44027842.026 ms  0/4 (0%)  
[  5]   1.40-1.50   sec  4.31 KBytes   353 Kbits/sec  36277826.219 ms  0/3 (0%)  
[  5]   1.50-1.60   sec  4.31 KBytes   353 Kbits/sec  29892007.782 ms  0/3 (0%)  
[  5]   1.60-1.70   sec  5.75 KBytes   471 Kbits/sec  23090864.591 ms  0/4 (0%)  
[  5]   1.70-1.80   sec  4.31 KBytes   353 Kbits/sec  19026286.245 ms  0/3 (0%)  
[  5]   1.80-1.90   sec  5.75 KBytes   471 Kbits/sec  14697353.346 ms  0/4 (0%)  
[  5]   1.90-2.00   sec  4.31 KBytes   353 Kbits/sec  12110246.095 ms  0/3 (0%)  
[  5]   2.00-2.10   sec  4.31 KBytes   353 Kbits/sec  9978535.381 ms  0/3 (0%)  
[  5]   2.10-2.20   sec  5.75 KBytes   471 Kbits/sec  7708181.214 ms  0/4 (0%)  
[  5]   2.20-2.30   sec  4.31 KBytes   353 Kbits/sec  6351345.731 ms  0/3 (0%)  
[  5]   2.30-2.40   sec  5.75 KBytes   471 Kbits/sec  4906263.528 ms  0/4 (0%)  
[  5]   2.40-2.50   sec  4.31 KBytes   353 Kbits/sec  4042636.739 ms  0/3 (0%)  
[  5]   2.50-2.60   sec  4.31 KBytes   353 Kbits/sec  3331030.224 ms  0/3 (0%)  
[  5]   2.60-2.70   sec  5.75 KBytes   471 Kbits/sec  2573141.729 ms  0/4 (0%)  
[  5]   2.70-2.80   sec  4.31 KBytes   353 Kbits/sec  2120203.574 ms  0/3 (0%)  
[  5]   2.80-2.90   sec  5.75 KBytes   471 Kbits/sec  1637806.927 ms  0/4 (0%)  
[  5]   2.90-3.00   sec  4.31 KBytes   353 Kbits/sec  1349511.405 ms  0/3 (0%)  
